CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 
Done!2.51 s

Number of sentences: 9450
Number of features:  1017940
Number of thread(s): 56
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=198 terr=0.09331 serr=0.58667 act=1017940 obj=35125.59238 diff=0.00205
iter=199 terr=0.09291 serr=0.58614 act=1017940 obj=35095.95740 diff=0.00084
iter=200 terr=0.09254 serr=0.58550 act=1017940 obj=35059.20019 diff=0.00105
iter=201 terr=0.09178 serr=0.58413 act=1017940 obj=34950.17661 diff=0.00311
iter=202 terr=0.09095 serr=0.58222 act=1017940 obj=34790.13628 diff=0.00458
iter=203 terr=0.09328 serr=0.58593 act=1017940 obj=34751.99948 diff=0.00110
iter=204 terr=0.08755 serr=0.57376 act=1017940 obj=34598.03012 diff=0.00443
iter=205 terr=0.08893 serr=0.57714 act=1017940 obj=34490.14437 diff=0.00312
iter=206 terr=0.08939 serr=0.57640 act=1017940 obj=34464.36315 diff=0.00075
iter=207 terr=0.08929 serr=0.57492 act=1017940 obj=34424.49280 diff=0.00116
iter=208 terr=0.08931 serr=0.57376 act=1017940 obj=34357.22307 diff=0.00195
iter=209 terr=0.08841 serr=0.56878 act=1017940 obj=34204.55048 diff=0.00444
iter=210 terr=0.08382 serr=0.56392 act=1017940 obj=34464.53820 diff=0.00760
iter=211 terr=0.08601 serr=0.56190 act=1017940 obj=34142.48026 diff=0.00934
iter=212 terr=0.08643 serr=0.56275 act=1017940 obj=34040.09296 diff=0.00300
iter=213 terr=0.08291 serr=0.55989 act=1017940 obj=34061.41063 diff=0.00063
iter=214 terr=0.08429 serr=0.56138 act=1017940 obj=33978.34626 diff=0.00244
iter=215 terr=0.08480 serr=0.56212 act=1017940 obj=33925.04242 diff=0.00157
iter=216 terr=0.08496 serr=0.56222 act=1017940 obj=33854.80289 diff=0.00207
iter=217 terr=0.08374 serr=0.56095 act=1017940 obj=33726.80760 diff=0.00378
iter=218 terr=0.08980 serr=0.57344 act=1017940 obj=33970.01752 diff=0.00721
iter=219 terr=0.08472 serr=0.56286 act=1017940 obj=33677.91497 diff=0.00860
iter=220 terr=0.08383 serr=0.56074 act=1017940 obj=33620.29012 diff=0.00171
iter=221 terr=0.08323 serr=0.56000 act=1017940 obj=33567.92521 diff=0.00156
iter=222 terr=0.08097 serr=0.55524 act=1017940 obj=34144.76251 diff=0.01718
iter=223 terr=0.08205 serr=0.55693 act=1017940 obj=33546.69361 diff=0.01752
iter=224 terr=0.08201 serr=0.55640 act=1017940 obj=33519.63544 diff=0.00081
iter=225 terr=0.07950 serr=0.54508 act=1017940 obj=33299.73099 diff=0.00656
iter=226 terr=0.07773 serr=0.54106 act=1017940 obj=33201.57194 diff=0.00295
iter=227 terr=0.07944 serr=0.54265 act=1017940 obj=33213.49991 diff=0.00036
iter=228 terr=0.07804 serr=0.54053 act=1017940 obj=33141.72470 diff=0.00216
iter=229 terr=0.07698 serr=0.53894 act=1017940 obj=33083.65748 diff=0.00175
iter=230 terr=0.07497 serr=0.53407 act=1017940 obj=33018.89904 diff=0.00196
iter=231 terr=0.07487 serr=0.53132 act=1017940 obj=32941.98246 diff=0.00233
iter=232 terr=0.07282 serr=0.52571 act=1017940 obj=33198.30803 diff=0.00778
iter=233 terr=0.07303 serr=0.52878 act=1017940 obj=32885.36558 diff=0.00943
iter=234 terr=0.07296 serr=0.52635 act=1017940 obj=32789.24760 diff=0.00292
iter=235 terr=0.07358 serr=0.52624 act=1017940 obj=32694.44083 diff=0.00289
iter=236 terr=0.07349 serr=0.52508 act=1017940 obj=32658.06809 diff=0.00111
iter=237 terr=0.07427 serr=0.52444 act=1017940 obj=32597.88073 diff=0.00184
iter=238 terr=0.07168 serr=0.51757 act=1017940 obj=32526.54618 diff=0.00219
iter=239 terr=0.06970 serr=0.51206 act=1017940 obj=32471.19035 diff=0.00170
iter=240 terr=0.06893 serr=0.51037 act=1017940 obj=32445.13414 diff=0.00080
iter=241 terr=0.06966 serr=0.51302 act=1017940 obj=32413.89169 diff=0.00096
iter=242 terr=0.06929 serr=0.51132 act=1017940 obj=32370.88239 diff=0.00133
iter=243 terr=0.06907 serr=0.51026 act=1017940 obj=32321.53776 diff=0.00152
iter=244 terr=0.06630 serr=0.50180 act=1017940 obj=32270.36379 diff=0.00158
iter=245 terr=0.06852 serr=0.50868 act=1017940 obj=32209.26826 diff=0.00189
iter=246 terr=0.06860 serr=0.50825 act=1017940 obj=32199.03610 diff=0.00032
iter=247 terr=0.06824 serr=0.50677 act=1017940 obj=32170.32674 diff=0.00089
iter=248 terr=0.06758 serr=0.50370 act=1017940 obj=32110.90169 diff=0.00185
iter=249 terr=0.06782 serr=0.49958 act=1017940 obj=32089.52741 diff=0.00067
iter=250 terr=0.06610 serr=0.49672 act=1017940 obj=32020.52835 diff=0.00215
iter=251 terr=0.06798 serr=0.50021 act=1017940 obj=31999.76616 diff=0.00065
iter=252 terr=0.06696 serr=0.49820 act=1017940 obj=31972.51665 diff=0.00085
iter=253 terr=0.06585 serr=0.49534 act=1017940 obj=31933.94776 diff=0.00121
iter=254 terr=0.06494 serr=0.49302 act=1017940 obj=31904.06707 diff=0.00094
iter=255 terr=0.06424 serr=0.49101 act=1017940 obj=31847.31890 diff=0.00178
iter=256 terr=0.06429 serr=0.49185 act=1017940 obj=31768.61229 diff=0.00247
iter=257 terr=0.06032 serr=0.48138 act=1017940 obj=32689.81591 diff=0.02900
iter=258 terr=0.06346 serr=0.48878 act=1017940 obj=31762.78680 diff=0.02836
iter=259 terr=0.06354 serr=0.48910 act=1017940 obj=31743.77933 diff=0.00060
iter=260 terr=0.06381 serr=0.48942 act=1017940 obj=31723.37879 diff=0.00064
iter=261 terr=0.06401 serr=0.48974 act=1017940 obj=31710.65586 diff=0.00040
iter=262 terr=0.06420 serr=0.49058 act=1017940 obj=31676.69605 diff=0.00107
iter=263 terr=0.06393 serr=0.48751 act=1017940 obj=31628.61175 diff=0.00152
